player_id,game_id,session_duration_hours,money_spent,age,avg_bet_amount,company,rtp
0,39,1.94,87.23,37,45.01,NetEnt,0.928
0,39,2.13,96.06,37,45.01,NetEnt,0.928
0,39,4.26,191.88,37,45.01,NetEnt,0.928
0,39,4.35,195.9,37,45.01,NetEnt,0.928
0,39,2.14,96.42,37,45.01,NetEnt,0.928
4,39,2.68,124.16,30,46.37,NetEnt,0.928
4,39,2.81,130.3,30,46.37,NetEnt,0.928
13,39,1.03,39.35,65,38.05,NetEnt,0.928
21,39,0.96,30.44,36,31.66,NetEnt,0.928
23,39,1.02,31.37,61,30.65,NetEnt,0.928
25,39,0.66,19.72,53,30.08,NetEnt,0.928
32,39,2.04,179.67,68,88.1,NetEnt,0.928
35,39,1.69,64.61,49,38.2,NetEnt,0.928
50,39,3.37,294.51,52,87.32,NetEnt,0.928
50,39,1.13,98.6,52,87.32,NetEnt,0.928
57,39,3.26,29.49,28,9.05,NetEnt,0.928
60,39,2.89,132.79,64,45.91,NetEnt,0.928
68,39,3.72,16.56,28,4.45,NetEnt,0.928
80,39,3.23,279.79,69,86.73,NetEnt,0.928
93,39,3.54,46.53,20,13.14,NetEnt,0.928
102,39,5.31,116.18,21,21.86,NetEnt,0.928
103,39,4.96,78.11,20,15.76,NetEnt,0.928
114,39,4.23,345.38,60,81.58,NetEnt,0.928
118,39,5.02,385.03,64,76.73,NetEnt,0.928
132,39,2.45,46.78,49,19.08,NetEnt,0.928
132,39,2.4,45.75,49,19.08,NetEnt,0.928
138,39,4.96,409.31,56,82.46,NetEnt,0.928
141,39,4.03,129.48,34,32.14,NetEnt,0.928
141,39,1.88,60.56,34,32.14,NetEnt,0.928
162,39,2.17,157.54,66,72.47,NetEnt,0.928
170,39,2.55,47.09,23,18.46,NetEnt,0.928
170,39,4.63,85.48,23,18.46,NetEnt,0.928
186,39,1.06,39.45,61,37.08,NetEnt,0.928
186,39,3.14,116.52,61,37.08,NetEnt,0.928
191,39,2.76,100.8,43,36.54,NetEnt,0.928
191,39,4.46,162.88,43,36.54,NetEnt,0.928
191,39,2.27,82.83,43,36.54,NetEnt,0.928
201,39,4.57,160.16,53,35.02,NetEnt,0.928
201,39,4.2,147.17,53,35.02,NetEnt,0.928
235,39,2.6,118.19,43,45.5,NetEnt,0.928
241,39,1.46,55.37,69,38.04,NetEnt,0.928
245,39,2.99,148.77,35,49.75,NetEnt,0.928
249,39,3.34,152.38,48,45.58,NetEnt,0.928
249,39,1.1,50.31,48,45.58,NetEnt,0.928
251,39,5.07,246.13,35,48.57,NetEnt,0.928
254,39,4.72,125.47,18,26.6,NetEnt,0.928
265,39,3.2,109.57,43,34.28,NetEnt,0.928
266,39,2.37,68.83,42,29.04,NetEnt,0.928
268,39,0.58,12.98,37,22.38,NetEnt,0.928
268,39,2.99,66.85,37,22.38,NetEnt,0.928
280,39,2.62,76.74,20,29.3,NetEnt,0.928
282,39,1.24,56.94,43,45.75,NetEnt,0.928
291,39,4.32,209.31,70,48.4,NetEnt,0.928
291,39,4.88,236.17,70,48.4,NetEnt,0.928
307,39,4.68,81.32,29,17.38,NetEnt,0.928
307,39,2.74,47.56,29,17.38,NetEnt,0.928
307,39,3.13,54.44,29,17.38,NetEnt,0.928
312,39,4.77,241.07,69,50.53,NetEnt,0.928
312,39,1.68,84.91,69,50.53,NetEnt,0.928
319,39,3.58,18.38,20,5.13,NetEnt,0.928
336,39,4.16,228.22,70,54.85,NetEnt,0.928
353,39,3.77,178.62,52,47.33,NetEnt,0.928
358,39,4.46,340.19,70,76.27,NetEnt,0.928
366,39,4.11,130.28,31,31.69,NetEnt,0.928
376,39,1.84,6.89,28,3.75,NetEnt,0.928
376,39,3.58,13.43,28,3.75,NetEnt,0.928
376,39,3.98,14.93,28,3.75,NetEnt,0.928
378,39,0.58,33.06,70,57.19,NetEnt,0.928
396,39,5.18,129.13,30,24.94,NetEnt,0.928
410,39,4.7,166.3,61,35.37,NetEnt,0.928
414,39,1.98,116.14,68,58.63,NetEnt,0.928
418,39,5.11,69.92,26,13.69,NetEnt,0.928
419,39,2.92,272.47,60,93.16,NetEnt,0.928
422,39,4.09,177.47,40,43.43,NetEnt,0.928
430,39,0.76,38.25,64,50.17,NetEnt,0.928
432,39,0.96,29.36,56,30.69,NetEnt,0.928
435,39,3.18,52.73,19,16.6,NetEnt,0.928
444,39,3.31,71.48,42,21.6,NetEnt,0.928
444,39,4.05,87.51,42,21.6,NetEnt,0.928
444,39,1.11,24.04,42,21.6,NetEnt,0.928
444,39,2.08,44.88,42,21.6,NetEnt,0.928
462,39,4.39,137.74,32,31.34,NetEnt,0.928
467,39,1.62,75.37,41,46.46,NetEnt,0.928
485,39,2.87,243.46,70,84.73,NetEnt,0.928
494,39,1.16,21.97,26,19.0,NetEnt,0.928
0,7,3.39,152.58,37,45.01,Microgaming,0.9285
0,7,2.71,122.08,37,45.01,Microgaming,0.9285
0,7,1.81,81.33,37,45.01,Microgaming,0.9285
0,7,2.37,106.68,37,45.01,Microgaming,0.9285
4,7,2.91,134.95,30,46.37,Microgaming,0.9285
4,7,4.94,228.87,30,46.37,Microgaming,0.9285
23,7,5.15,157.95,61,30.65,Microgaming,0.9285
23,7,0.94,28.86,61,30.65,Microgaming,0.9285
25,7,0.67,20.2,53,30.08,Microgaming,0.9285
42,7,3.68,223.19,65,60.65,Microgaming,0.9285
50,7,4.06,354.11,52,87.32,Microgaming,0.9285
50,7,0.88,76.66,52,87.32,Microgaming,0.9285
54,7,2.4,119.24,55,49.68,Microgaming,0.9285
57,7,1.02,9.21,28,9.05,Microgaming,0.9285
57,7,1.5,13.61,28,9.05,Microgaming,0.9285
68,7,1.74,7.73,28,4.45,Microgaming,0.9285
79,7,0.81,56.39,69,70.03,Microgaming,0.9285
81,7,5.1,9.38,24,1.84,Microgaming,0.9285
93,7,2.58,33.91,20,13.14,Microgaming,0.9285
95,7,5.28,280.7,66,53.17,Microgaming,0.9285
103,7,1.04,16.34,20,15.76,Microgaming,0.9285
104,7,1.45,137.44,70,94.89,Microgaming,0.9285
104,7,0.92,87.44,70,94.89,Microgaming,0.9285
104,7,3.24,307.83,70,94.89,Microgaming,0.9285
114,7,2.05,167.4,60,81.58,Microgaming,0.9285
118,7,4.05,311.14,64,76.73,Microgaming,0.9285
132,7,3.1,59.13,49,19.08,Microgaming,0.9285
132,7,4.8,91.56,49,19.08,Microgaming,0.9285
132,7,3.19,60.78,49,19.08,Microgaming,0.9285
132,7,0.83,15.87,49,19.08,Microgaming,0.9285
132,7,3.44,65.56,49,19.08,Microgaming,0.9285
132,7,1.26,24.09,49,19.08,Microgaming,0.9285
132,7,2.69,51.3,49,19.08,Microgaming,0.9285
133,7,2.54,96.84,36,38.15,Microgaming,0.9285
153,7,1.4,40.36,45,28.92,Microgaming,0.9285
157,7,3.32,133.75,59,40.29,Microgaming,0.9285
159,7,3.89,207.73,55,53.38,Microgaming,0.9285
167,7,1.16,97.61,55,84.05,Microgaming,0.9285
167,7,3.99,335.05,55,84.05,Microgaming,0.9285
170,7,5.26,97.16,23,18.46,Microgaming,0.9285
170,7,5.36,98.9,23,18.46,Microgaming,0.9285
186,7,1.61,59.59,61,37.08,Microgaming,0.9285
194,7,4.15,238.83,53,57.59,Microgaming,0.9285
194,7,3.61,208.03,53,57.59,Microgaming,0.9285
198,7,1.73,49.07,19,28.41,Microgaming,0.9285
201,7,4.21,147.52,53,35.02,Microgaming,0.9285
210,7,2.1,55.19,22,26.26,Microgaming,0.9285
235,7,4.24,192.9,43,45.5,Microgaming,0.9285
236,7,1.33,74.34,63,56.1,Microgaming,0.9285
236,7,2.47,138.68,63,56.1,Microgaming,0.9285
239,7,2.08,39.38,34,18.91,Microgaming,0.9285
243,7,4.2,282.54,62,67.32,Microgaming,0.9285
245,7,4.45,221.5,35,49.75,Microgaming,0.9285
248,7,3.03,225.09,63,74.41,Microgaming,0.9285
249,7,4.08,185.8,48,45.58,Microgaming,0.9285
250,7,3.78,42.74,22,11.32,Microgaming,0.9285
253,7,5.11,112.48,44,22.01,Microgaming,0.9285
256,7,2.8,39.58,20,14.13,Microgaming,0.9285
256,7,4.06,57.38,20,14.13,Microgaming,0.9285
266,7,2.62,76.19,42,29.04,Microgaming,0.9285
266,7,4.76,138.12,42,29.04,Microgaming,0.9285
280,7,0.62,18.17,20,29.3,Microgaming,0.9285
282,7,3.2,146.28,43,45.75,Microgaming,0.9285
291,7,4.78,231.25,70,48.4,Microgaming,0.9285
292,7,0.65,10.87,25,16.79,Microgaming,0.9285
295,7,3.61,242.14,65,67.06,Microgaming,0.9285
299,7,0.84,9.86,24,11.69,Microgaming,0.9285
307,7,0.82,14.18,29,17.38,Microgaming,0.9285
307,7,2.5,43.41,29,17.38,Microgaming,0.9285
316,7,1.21,26.21,44,21.59,Microgaming,0.9285
319,7,1.22,6.24,20,5.13,Microgaming,0.9285
323,7,1.2,28.14,36,23.48,Microgaming,0.9285
325,7,4.88,84.59,47,17.33,Microgaming,0.9285
341,7,2.76,217.2,63,78.76,Microgaming,0.9285
343,7,3.19,63.24,20,19.83,Microgaming,0.9285
343,7,4.93,97.73,20,19.83,Microgaming,0.9285
343,7,0.97,19.3,20,19.83,Microgaming,0.9285
343,7,3.13,62.15,20,19.83,Microgaming,0.9285
353,7,2.57,121.71,52,47.33,Microgaming,0.9285
353,7,5.06,239.59,52,47.33,Microgaming,0.9285
353,7,3.7,175.07,52,47.33,Microgaming,0.9285
366,7,4.3,136.13,31,31.69,Microgaming,0.9285
370,7,3.46,123.74,36,35.79,Microgaming,0.9285
370,7,2.63,94.03,36,35.79,Microgaming,0.9285
376,7,3.63,13.6,28,3.75,Microgaming,0.9285
390,7,4.39,27.02,25,6.15,Microgaming,0.9285
392,7,0.86,14.84,29,17.25,Microgaming,0.9285
395,7,2.92,158.24,67,54.13,Microgaming,0.9285
397,7,2.68,15.44,20,5.77,Microgaming,0.9285
397,7,2.9,16.76,20,5.77,Microgaming,0.9285
397,7,5.02,28.94,20,5.77,Microgaming,0.9285
399,7,0.99,41.48,67,41.8,Microgaming,0.9285
411,7,2.0,55.17,42,27.58,Microgaming,0.9285
416,7,3.19,66.95,33,21.02,Microgaming,0.9285
419,7,4.75,442.25,60,93.16,Microgaming,0.9285
431,7,3.53,298.73,55,84.74,Microgaming,0.9285
431,7,0.62,52.95,55,84.74,Microgaming,0.9285
431,7,3.81,322.5,55,84.74,Microgaming,0.9285
444,7,1.31,28.36,42,21.6,Microgaming,0.9285
444,7,3.9,84.14,42,21.6,Microgaming,0.9285
444,7,2.31,49.99,42,21.6,Microgaming,0.9285
447,7,0.98,26.45,38,27.08,Microgaming,0.9285
449,7,3.79,176.45,42,46.54,Microgaming,0.9285
449,7,4.02,186.94,42,46.54,Microgaming,0.9285
449,7,3.46,161.07,42,46.54,Microgaming,0.9285
449,7,1.84,85.86,42,46.54,Microgaming,0.9285
451,7,2.79,147.06,63,52.62,Microgaming,0.9285
452,7,2.25,103.55,30,46.12,Microgaming,0.9285
466,7,2.96,20.06,28,6.78,Microgaming,0.9285
467,7,1.21,56.05,41,46.46,Microgaming,0.9285
467,7,3.94,183.09,41,46.46,Microgaming,0.9285
467,7,2.42,112.48,41,46.46,Microgaming,0.9285
485,7,1.94,164.5,70,84.73,Microgaming,0.9285
485,7,5.2,440.71,70,84.73,Microgaming,0.9285
493,7,3.94,90.35,35,22.94,Microgaming,0.9285
494,7,4.39,83.41,26,19.0,Microgaming,0.9285
494,7,1.95,36.96,26,19.0,Microgaming,0.9285
494,7,5.01,95.1,26,19.0,Microgaming,0.9285
497,7,4.12,310.2,59,75.31,Microgaming,0.9285
0,10,1.24,55.76,37,45.01,Microgaming,0.9322
0,10,2.83,127.56,37,45.01,Microgaming,0.9322
2,10,4.68,237.41,53,50.78,Microgaming,0.9322
2,10,1.87,94.94,53,50.78,Microgaming,0.9322
2,10,4.2,213.35,53,50.78,Microgaming,0.9322
2,10,3.53,179.22,53,50.78,Microgaming,0.9322
4,10,4.8,222.4,30,46.37,Microgaming,0.9322
13,10,2.8,106.45,65,38.05,Microgaming,0.9322
13,10,2.07,78.83,65,38.05,Microgaming,0.9322
23,10,0.78,23.8,61,30.65,Microgaming,0.9322
23,10,4.31,132.14,61,30.65,Microgaming,0.9322
23,10,3.75,114.8,61,30.65,Microgaming,0.9322
23,10,4.46,136.68,61,30.65,Microgaming,0.9322
23,10,1.79,54.92,61,30.65,Microgaming,0.9322
29,10,1.28,123.52,67,96.62,Microgaming,0.9322
29,10,4.11,397.57,67,96.62,Microgaming,0.9322
29,10,0.67,64.94,67,96.62,Microgaming,0.9322
29,10,1.76,170.09,67,96.62,Microgaming,0.9322
30,10,1.72,42.65,25,24.85,Microgaming,0.9322
32,10,1.76,154.9,68,88.1,Microgaming,0.9322
35,10,1.56,59.64,49,38.2,Microgaming,0.9322
35,10,3.02,115.35,49,38.2,Microgaming,0.9322
39,10,1.74,84.18,52,48.5,Microgaming,0.9322
41,10,1.8,53.6,24,29.72,Microgaming,0.9322
42,10,0.78,47.44,65,60.65,Microgaming,0.9322
42,10,5.08,307.89,65,60.65,Microgaming,0.9322
42,10,1.73,104.74,65,60.65,Microgaming,0.9322
56,10,3.02,169.29,64,56.01,Microgaming,0.9322
63,10,0.7,3.99,23,5.68,Microgaming,0.9322
74,10,4.2,21.8,27,5.19,Microgaming,0.9322
74,10,1.81,9.37,27,5.19,Microgaming,0.9322
74,10,5.3,27.52,27,5.19,Microgaming,0.9322
80,10,2.17,188.18,69,86.73,Microgaming,0.9322
80,10,3.85,333.83,69,86.73,Microgaming,0.9322
81,10,1.14,2.1,24,1.84,Microgaming,0.9322
87,10,1.47,145.62,70,99.19,Microgaming,0.9322
87,10,4.49,445.2,70,99.19,Microgaming,0.9322
87,10,0.62,61.59,70,99.19,Microgaming,0.9322
93,10,5.38,70.72,20,13.14,Microgaming,0.9322
93,10,4.02,52.77,20,13.14,Microgaming,0.9322
93,10,3.39,44.6,20,13.14,Microgaming,0.9322
93,10,3.93,51.6,20,13.14,Microgaming,0.9322
95,10,1.58,83.99,66,53.17,Microgaming,0.9322
100,10,4.44,395.6,58,89.09,Microgaming,0.9322
101,10,2.68,73.93,26,27.6,Microgaming,0.9322
103,10,5.12,80.74,20,15.76,Microgaming,0.9322
104,10,1.39,131.52,70,94.89,Microgaming,0.9322
104,10,4.58,434.84,70,94.89,Microgaming,0.9322
107,10,1.0,99.19,61,99.55,Microgaming,0.9322
107,10,4.25,423.39,61,99.55,Microgaming,0.9322
110,10,3.84,14.91,21,3.88,Microgaming,0.9322
114,10,0.63,51.53,60,81.58,Microgaming,0.9322
118,10,2.65,203.02,64,76.73,Microgaming,0.9322
119,10,1.3,57.33,63,44.17,Microgaming,0.9322
119,10,1.61,71.14,63,44.17,Microgaming,0.9322
126,10,2.43,109.97,39,45.24,Microgaming,0.9322
130,10,4.63,377.22,60,81.39,Microgaming,0.9322
132,10,3.31,63.17,49,19.08,Microgaming,0.9322
138,10,3.74,308.02,56,82.46,Microgaming,0.9322
138,10,0.87,71.36,56,82.46,Microgaming,0.9322
138,10,4.9,404.05,56,82.46,Microgaming,0.9322
138,10,3.21,264.3,56,82.46,Microgaming,0.9322
139,10,1.49,42.46,23,28.47,Microgaming,0.9322
147,10,2.64,32.17,27,12.18,Microgaming,0.9322
147,10,1.52,18.54,27,12.18,Microgaming,0.9322
147,10,4.13,50.3,27,12.18,Microgaming,0.9322
147,10,1.58,19.23,27,12.18,Microgaming,0.9322
148,10,3.94,131.92,49,33.52,Microgaming,0.9322
153,10,0.78,22.7,45,28.92,Microgaming,0.9322
157,10,5.3,213.48,59,40.29,Microgaming,0.9322
157,10,3.65,147.02,59,40.29,Microgaming,0.9322
158,10,4.56,146.61,45,32.15,Microgaming,0.9322
160,10,1.55,52.48,45,33.84,Microgaming,0.9322
160,10,3.06,103.69,45,33.84,Microgaming,0.9322
160,10,4.19,141.71,45,33.84,Microgaming,0.9322
162,10,3.74,270.78,66,72.47,Microgaming,0.9322
164,10,3.3,96.5,29,29.21,Microgaming,0.9322
167,10,4.18,351.14,55,84.05,Microgaming,0.9322
167,10,3.11,261.11,55,84.05,Microgaming,0.9322
169,10,4.3,417.93,65,97.14,Microgaming,0.9322
169,10,1.57,152.73,65,97.14,Microgaming,0.9322
174,10,3.37,153.46,32,45.48,Microgaming,0.9322
178,10,1.18,49.24,44,41.56,Microgaming,0.9322
183,10,1.04,13.1,19,12.62,Microgaming,0.9322
186,10,1.15,42.78,61,37.08,Microgaming,0.9322
186,10,1.87,69.21,61,37.08,Microgaming,0.9322
188,10,2.0,19.77,28,9.87,Microgaming,0.9322
191,10,4.01,146.4,43,36.54,Microgaming,0.9322
191,10,1.53,55.99,43,36.54,Microgaming,0.9322
195,10,5.24,116.63,49,22.24,Microgaming,0.9322
200,10,1.15,58.33,68,50.78,Microgaming,0.9322
201,10,1.63,57.09,53,35.02,Microgaming,0.9322
201,10,0.56,19.57,53,35.02,Microgaming,0.9322
209,10,3.41,192.38,63,56.39,Microgaming,0.9322
212,10,3.87,145.42,35,37.59,Microgaming,0.9322
217,10,1.55,60.09,35,38.8,Microgaming,0.9322
218,10,5.29,144.49,38,27.32,Microgaming,0.9322
221,10,4.13,165.55,31,40.06,Microgaming,0.9322
225,10,5.15,350.25,53,68.04,Microgaming,0.9322
225,10,2.89,196.32,53,68.04,Microgaming,0.9322
226,10,4.78,103.58,41,21.67,Microgaming,0.9322
230,10,5.31,65.88,27,12.4,Microgaming,0.9322
230,10,5.05,62.67,27,12.4,Microgaming,0.9322
232,10,2.07,102.13,48,49.26,Microgaming,0.9322
235,10,1.07,48.8,43,45.5,Microgaming,0.9322
235,10,2.72,123.87,43,45.5,Microgaming,0.9322
235,10,5.09,231.51,43,45.5,Microgaming,0.9322
236,10,1.73,96.81,63,56.1,Microgaming,0.9322
236,10,5.04,282.9,63,56.1,Microgaming,0.9322
237,10,2.93,203.2,62,69.46,Microgaming,0.9322
237,10,3.16,219.53,62,69.46,Microgaming,0.9322
237,10,4.3,298.65,62,69.46,Microgaming,0.9322
245,10,3.66,182.09,35,49.75,Microgaming,0.9322
248,10,4.05,301.73,63,74.41,Microgaming,0.9322
249,10,4.36,198.84,48,45.58,Microgaming,0.9322
249,10,2.81,128.23,48,45.58,Microgaming,0.9322
250,10,3.64,41.21,22,11.32,Microgaming,0.9322
256,10,1.3,18.43,20,14.13,Microgaming,0.9322
256,10,4.77,67.37,20,14.13,Microgaming,0.9322
256,10,0.79,11.17,20,14.13,Microgaming,0.9322
258,10,3.32,140.91,33,42.39,Microgaming,0.9322
266,10,1.71,49.76,42,29.04,Microgaming,0.9322
266,10,4.91,142.52,42,29.04,Microgaming,0.9322
266,10,1.49,43.38,42,29.04,Microgaming,0.9322
266,10,1.83,53.02,42,29.04,Microgaming,0.9322
266,10,4.46,129.54,42,29.04,Microgaming,0.9322
273,10,1.44,34.43,20,23.84,Microgaming,0.9322
280,10,3.78,110.68,20,29.3,Microgaming,0.9322
280,10,1.02,29.76,20,29.3,Microgaming,0.9322
280,10,0.82,23.9,20,29.3,Microgaming,0.9322
286,10,2.26,8.01,18,3.55,Microgaming,0.9322
286,10,1.93,6.84,18,3.55,Microgaming,0.9322
286,10,1.72,6.09,18,3.55,Microgaming,0.9322
291,10,0.89,42.88,70,48.4,Microgaming,0.9322
291,10,5.05,244.26,70,48.4,Microgaming,0.9322
291,10,1.64,79.44,70,48.4,Microgaming,0.9322
291,10,1.51,72.91,70,48.4,Microgaming,0.9322
291,10,1.74,84.33,70,48.4,Microgaming,0.9322
291,10,1.85,89.63,70,48.4,Microgaming,0.9322
292,10,3.49,58.57,25,16.79,Microgaming,0.9322
299,10,3.01,35.23,24,11.69,Microgaming,0.9322
300,10,2.31,144.27,59,62.49,Microgaming,0.9322
300,10,3.11,194.47,59,62.49,Microgaming,0.9322
300,10,3.89,243.22,59,62.49,Microgaming,0.9322
300,10,1.87,117.09,59,62.49,Microgaming,0.9322
302,10,1.49,69.69,56,46.67,Microgaming,0.9322
307,10,2.33,40.43,29,17.38,Microgaming,0.9322
307,10,1.46,25.31,29,17.38,Microgaming,0.9322
308,10,2.24,79.3,36,35.34,Microgaming,0.9322
309,10,2.66,46.99,42,17.65,Microgaming,0.9322
315,10,1.09,36.69,55,33.69,Microgaming,0.9322
316,10,1.67,36.03,44,21.59,Microgaming,0.9322
320,10,5.21,155.44,28,29.86,Microgaming,0.9322
320,10,5.39,160.95,28,29.86,Microgaming,0.9322
323,10,0.94,22.15,36,23.48,Microgaming,0.9322
336,10,3.7,203.01,70,54.85,Microgaming,0.9322
340,10,4.25,101.46,36,23.87,Microgaming,0.9322
343,10,3.77,74.77,20,19.83,Microgaming,0.9322
